yaxis,xaxis
33.4945,-116.7906667
38.7965012,-122.7358322
33.9286667,-118.669
37.6011658,-118.9543304
33.7821667,-117.8228333
34.5023333,-118.4893333
60.973,-139.6818
36.977,-117.458
38.8725014,-122.7286682
38.8144989,-122.822998
61.1485,-149.8168
46.9355,-112.6686667
33.1805,-115.6103333
35.2753333,-118.6031667
36.644001,-121.2606659
36.6595001,-121.2850037
60.0062,-152.6941
38.6566,-118.7923
39.6145,-119.4166
39.6049,-119.4139
28.9836,-98.0502
38.8230019,-122.7593307
33.4988333,-116.7911667
34.6554,45.5857
59.8012,-136.6871
33.9751667,-116.3798333
36.6568336,-121.2863312
36.6576653,-121.2868347
36.6575012,-121.2861633
36.6571655,-121.2873306
59.5299,-152.8769
33.4636667,-116.4468333
62.2047,-150.0762
36.6366653,-121.2503357
-31.2848,-177.3966
47.267,-122.8875
37.6016655,-118.8151703
36.6459999,-121.2623367
38.3263,-118.6119
37.6044998,-118.8181686
59.6879,-158.685
36.6461678,-121.2638321
37.6048317,-118.8131638
59.2607,-153.7252
61.6922,-150.4998
36.6445007,-121.2539978
33.9093333,-116.8511667
63.1845,-150.576
37.5951653,-118.9536667
45.9988333,-122.4903333
38.8190002,-122.7699966
38.8209991,-122.7711639
36.6318321,-121.242836
38.3139,-118.4471
36.6363335,-121.2541656
38.031,-118.8228
38.8081665,-122.8301697
36.6446648,-121.2573318
46.8858333,-112.5408333
19.1991673,-155.1291656
36.6464996,-121.2614975
36.6378326,-121.251503
36.4467,-117.0064
18.8931675,-155.147171
36.6571655,-121.2870026
-18.1544,-177.9864
35.3023333,-119.8823333
63.4722,-148.9648
36.6256676,-121.2433319
36.4023,-117.4912
41.9211667,-111.442
33.4,-116.4065
33.844,-117.6856667
63.523,-151.0745
33.3611667,-116.3673333
61.7074,-149.7679
34.1531667,-117.5843333
33.4566667,-116.54
36.6473351,-121.2611694
37.6023331,-118.8138351
33.6953333,-116.7816667
36.8485,-115.9429
33.7383333,-117.4975
61.3248,-140.1198
36.2421684,-120.8118362
-21.5112,-178.7773
36.6419983,-121.2574997
33.17,-116.5481667
36.6443329,-121.2613297
33.5373333,-116.7185
36.8462,-116.2256
61.813,-148.8755
37.6085014,-118.8221664
36.6455002,-121.2555008
46.804,-111.6418333
38.8143349,-122.8206635
44.858,-111.4228333
36.6446648,-121.2608337
37.6088333,-118.9511642
36.6445007,-121.2614975
37.605835,-118.8199997
57.9469,-153.3464
38.0601,-118.8538
61.639,-151.066
-18.5233,-175.3676
63.0549,-150.8633
37.6051674,-118.9518356
36.6360016,-121.2516632
35.6675,-81.3108333
-21.3282,168.4792
37.6056671,-118.8180008
60.088,-146.3198
37.2149,-117.775
36.6426659,-121.258667
33.4971667,-116.7901667
38.412,-118.9109
62.3507,-150.7814
37.6110001,-118.8206635
36.9360008,-121.4366684
36.6448326,-121.2591629
32.9771667,-115.5716667
36.642334,-121.2584991
37.3083,-114.6324
38.8221664,-122.8106689
33.5028333,-116.7881667
33.5136667,-116.7945
33.5136667,-116.792
33.5113333,-116.7906667
35.1086667,-82.933
36.632,-121.2406693
36.496,-116.9775
38.8118324,-122.8198318
33.4856667,-116.4848333
37.1717,72.313
38.8203316,-122.795166
36.6323318,-121.2471695
35.102,-118.3023333
38.7781677,-122.7226639
36.6323318,-121.2498322
36.6315002,-121.2471695
38.2902,-118.6457
33.4331667,-116.4395
35.7639999,-120.3010025
62.2545,-150.1135
60.5764,-142.6202
36.6461678,-121.2616653
34.495,45.7053
36.6426667,-121.2573333
-21.314,168.7256
34.4473,45.7997
36.6416667,-121.2576667
60.673,-145.466
59.0808,-154.1762
18.031,-66.4546
38.8310013,-122.7606659
33.499,-116.7935
33.5031667,-116.7931667
36.6346667,-121.2478333
36.6258333,-121.2348333
46.901,-112.5185
60.2551,-141.7373
37.6040001,-118.8156662
34.603,-118.7786667
-21.6203,168.4183
33.4898333,-116.7998333
33.5008333,-116.7926667
34.5754,45.4062
36.634,-121.244
36.6492,-116.146
64.993,-147.3998
36.6355,-121.2608333
59.7567,-153.1648
35.8745003,-120.4349976
33.4981667,-116.7968333
33.5015,-116.7846667
36.6405,-121.2561667
36.635,-121.25
38.7963333,-122.7748337
36.6333333,-121.2483333
36.6355,-121.2536667
36.6375,-121.2523333
62.8397,-147.2665
37.6101667,-118.9511667
36.6376667,-121.2581667
36.0098333,-117.8515
60.2954,-153.2156
37.6025009,-118.8133316
39.4693336,-123.3116684
39.4731674,-123.3123322
38.3955,-118.8939
33.506,-116.7906667
37.1398,-98.3242
36.6416,-116.1448
36.6336667,-121.257
33.495,-116.7993333
33.1683333,-116.5588333
33.7776667,-117.8551667
36.6291667,-121.2466667
-21.6129,168.7845
36.6393333,-121.2561667
37.6026649,-118.8144989
38.8341675,-122.8170013
37.6028328,-118.8608322
37.5941667,-118.9536667
46.207,-122.2128333
34.5971667,-118.6431667
60.1329,-152.76
36.6031667,-121.2196667
36.6371667,-121.2471667
36.6366667,-121.2478333
36.6398333,-121.2528333
38.8055,-122.741333
36.6341667,-121.2456667
36.6385,-121.2551667
50.2402,-178.0779
40.4958344,-124.3164978
46.894,-112.5251667
37.6056667,-118.8188333
38.8228333,-122.7615
38.8243332,-122.7651672
36.6301667,-121.249
34.1106667,-117.7865
46.0101667,-112.46
36.641,-121.2546667
37.605835,-118.817337
37.1906662,-120.8166656
36.6378333,-121.2555
36.6405,-121.2538333
35.0575,-118.3361667
36.6413345,-121.2563324
38.8074989,-122.8231659
36.6276667,-121.2398333
36.6305,-121.2443333
38.7958336,-122.7263336
33.0518333,-116.4415
36.4175,-92.7538333
44.8393333,-111.081
33.5131667,-116.7806667
36.7355,-116.2392
44.7876667,-111.0435
34.3243333,-116.939
38.4835,-118.3421
33.5048333,-116.7983333
37.6030006,-118.8188324
62.0338,-152.8676
60.5774,-142.652
33.1926667,-115.6383333
36.5983,-116.2739
60.5515,-142.649
37.6049995,-118.8166656
36.7218,-116.2258
-20.2126,168.6954
33.589,-116.598
38.3862,-118.3546
42.5618333,-111.4048333
-7.9244,117.3875
60.558,-142.6443
36.2906667,-89.5323333
33.6956667,-116.728
60.5668,-142.613
60.5743,-142.6415
34.1406667,-117.527
33.061,-116.5855
-15.0926,-173.4069
33.4983333,-116.787
38.2925,-118.7413
41.4811667,-111.7558333
33.06,-116.5896667
61.0488,-148.0135
36.6553,-116.2699
38.8255005,-122.8085022
38.2802,-118.7606
61.7441,-149.2757
34.1883,45.3812
46.9015,-112.5285
37.1168327,-121.5221634
60.5262,-152.4614
18.186,-66.8356
38.8428345,-122.829834
37.2774,-117.1213
37.6010017,-118.8184967
61.3162,-150.6584
36.2919998,-120.3063354
33.246,-116.3636667
36.4422,-98.7564
-21.6469,168.7883
61.4671,-149.9668
33.4968333,-116.7865
39.8685,-119.4167
37.6016655,-118.8151703
33.4636667,-116.4558333
37.6038322,-118.8198318
39.7571678,-122.0896683
34.3235,45.7657
37.6040001,-118.8190002
61.426,-152.2921
37.2926,-117.1203
40.5083351,-124.3256683
64.7698,-147.3362
38.8328323,-122.8136673
46.944,-112.5465
47.3625,-122.4011667
36.3163338,-120.8891678
60.4292,-141.2625
8.469,-103.1257
33.6581667,-116.6968333
59.9157,-141.6049
37.6105003,-118.8190002
33.4686667,-116.4548333
33.2306667,-116.7738333
36.2955017,-120.3054962
38.2893,-118.742
38.2835,-118.7575
33.6851667,-116.7935
37.6038322,-118.8160019
-36.3582,-97.1412
37.604332,-118.8183365
33.9385,-117.945
33.62,-116.7151667
37.6091652,-118.8180008
33.4951667,-116.7896667
38.2941,-118.7402
33.4913333,-116.7878333
38.2935,-118.7391
42.6303333,-111.4486667
33.5776667,-116.7178333
63.1906,-151.453
38.7895012,-122.7986679
60.1539,-153.4676
33.5113333,-116.7956667
44.7883333,-111.0431667
63.3088,-150.9533
38.8118324,-122.8294983
37.5588341,-118.8481674
33.9174,46.1337
38.0268,-118.6806
33.5028333,-116.7963333
36.9229,-115.688
60.9756,-151.5892
13.0032,-88.7447
38.8273315,-122.8255005
36.1267,69.9811
36.9851685,-121.649498
33.9538333,-116.7895
61.5553,-150.0115
46.8488333,-112.5276667
45.0086,149.2091
34.3798,45.681
38.4101,-118.9143
33.4951667,-116.7876667
63.0119,-149.9458
35.711834,-121.0494995
37.5291672,-118.6723328
42.6045,-111.452
37.5294991,-118.6741638
34.4395,-117.8371667
33.4805,-116.7905
33.4646667,-116.4553333
60.2165,-147.8428
34.5718,45.4842
37.6004982,-118.8166656
9.4956,-84.5316
-3.489,145.4688
33.1916667,-116.0003333
41.4906667,-111.7571667
38.7921677,-122.7945023
46.8713333,-112.5268333
61.4395,-152.3204
61.4245,-152.3666
46.1775,-122.0336667
19.4796667,-155.5803333
43.369,-110.739
62.9725,-148.2315
58.8944,-141.4001
33.5115,-116.7898333
46.8673333,-112.5185
47.7656667,-113.7975
39.8664,-120.4901
38.3986,-118.915
19.3435,-155.107
32.089,-116.5951667
33.4835,-116.7946667
59.8063,-152.3859
37.8118,-114.2838
33.516,-116.7913333
37.0322,-116.4437
34.54,-118.1471667
19.26,-155.3783333
33.5411667,-116.9311667
33.4946667,-116.7933333
61.4367,-152.305
34.7419,45.7754
34.5428333,-118.1426667
60.116,-141.2396
37.426,-117.5485
33.4656667,-116.4515
34.3712,45.7278
38.3693,-118.9108
36.6587,-116.2736
34.4405,45.8307
17.6881,-46.5094
36.7273,-116.1316
36.4640007,-121.043335
60.3806,-143.1242
33.5003333,-116.7895
37.565834,-118.8604965
38.3494,-118.9205
38.8454,-118.7107
38.8096657,-122.7881699
33.4978333,-116.7868333
65.1664,-148.3132
9.5264,-84.5054
61.9947,-150.386
33.5071667,-116.7918333
33.5118333,-116.7953333
34.1665,-116.862
12.4961,143.9896
38.815834,-122.815834
65.9976,-151.7267
62.3441,-147.9206
33.5105,-116.7903333
38.7998352,-122.7985001
19.3836667,-155.2425
33.9286667,-118.1681667
19.1976667,-155.3961667
41.487,-111.7553333
-18.3795,-67.0174
34.0503333,-116.685
41.4963333,-111.7608333
41.4898333,-111.7578333
34.5425,45.7636
